Response ID,Application,End-User Comment,Technical,Performance,UX,Data/Security
R-1000,SharePoint,Document management is solid. Version history has saved us from overwritten files many times.,,,X,X
R-1001,Concur Expense,Works for standard expenses but international travel reimbursement is confusing.,,,X,
R-1002,Workday HCM,Adequate for benefits enrollment but the comparison tools could be more robust.,,,X,
R-1003,Tableau,Great for visualization but data prep capabilities are limited compared to dedicated ETL tools.,,,,X
R-1004,SharePoint,Works for our needs but building custom pages requires more effort than it should.,,,X,
R-1005,Power BI,Affordable alternative to Tableau with excellent integration into our Microsoft ecosystem.,X,,,
R-1006,ServiceNow,Knowledge base integration helps agents resolve issues faster with suggested articles.,X,,X,
R-1007,SAP ERP,Financial reporting is rock solid. Month-end close is much smoother now.,,,X,X
R-1008,Concur Expense,Slow performance during peak submission periods at month-end. Very frustrating.,,X,X,
R-1009,Zoom,Virtual backgrounds and touch-up features make working from home more professional.,,,X,
R-1010,Tableau,Large datasets cause significant slowdowns. Extracts take forever to refresh.,,X,,X
R-1011,Slack,Good for quick messages but important info gets buried in busy channels.,,,X,
R-1012,Confluence,Space organization keeps team wikis clean and discoverable.,,,X,
R-1013,ServiceNow,Self-service portal has dramatically reduced the number of calls to our help desk.,,,X,
R-1014,Zoom,Security concerns still linger from the Zoom-bombing incidents. IT restricts many features.,,,,X
R-1015,Workday HCM,Fine for time tracking but the mobile interface could be more user-friendly.,,,X,
R-1016,Jira,Good for engineering but non-technical stakeholders find it confusing to navigate.,,,X,
R-1017,SAP ERP,Comprehensive system that handles our entire supply chain flawlessly.,,,X,
R-1018,Confluence,Works for our wiki needs but page load times could be better.,,X,,
R-1019,Confluence,Good for documentation but the editor can be frustrating with complex formatting.,,,X,
R-1020,Zoom,Recording and transcription capabilities are excellent for meeting documentation.,,,X,
R-1021,Microsoft Teams,Decent video conferencing but screen sharing occasionally lags on large presentations.,,X,,
R-1022,SharePoint,Functional for document storage but the navigation and folder structure can be confusing.,,,X,
R-1023,Microsoft Teams,Constant updates break things. The UI changes without warning and disrupts my workflow.,X,,X,
